# Resultados dos testes
# Formato: N, Procs, Versao, Tempo, Primos
1000000, 1, Sequencial, 0.05, e
1000000, 2, Versao1, 0.0251, e
1000000, 2, Versao2, 0.0475, e
1000000, 3, Versao1, 0.0238, e
1000000, 3, Versao2, 0.0291, e
1000000, 4, Versao1, 0.0126, e
1000000, 4, Versao2, 0.0291, e
1000000, 5, Versao1, 0.0184, e
1000000, 5, Versao2, 0.0290, e
1000000, 6, Versao1, 0.0190, e
1000000, 6, Versao2, 0.0355, e
1000000, 7, Versao1, 0.0148, e
1000000, 7, Versao2, 0.0479, e
1000000, 8, Versao1, 0.0178, e
1000000, 8, Versao2, 0.0469, e
1000000, 9, Versao1, 0.0309, e
1000000, 9, Versao2, 0.0573, e
1000000, 10, Versao1, 0.0323, e
1000000, 10, Versao2, 0.0620, e
1000000, 11, Versao1, 0.0474, e
1000000, 11, Versao2, 0.0893, e
1000000, 12, Versao1, 0.0675, e
1000000, 12, Versao2, 0.0751, e
1000000, 13, Versao1, 0.1162, e
1000000, 13, Versao2, 0.0804, e
1000000, 14, Versao1, 0.1124, e
1000000, 14, Versao2, 0.0883, e
1000000, 15, Versao1, 0.1584, e
1000000, 15, Versao2, 0.1167, e
1000000, 16, Versao1, 0.1580, e
1000000, 16, Versao2, 0.1209, e
10000000, 1, Sequencial, 1.07, e
10000000, 2, Versao1, 0.5544, e
10000000, 2, Versao2, 1.1105, e
10000000, 3, Versao1, 0.5772, e
10000000, 3, Versao2, 0.5939, e
10000000, 4, Versao1, 0.2909, e
10000000, 4, Versao2, 0.4165, e
10000000, 5, Versao1, 0.3551, e
10000000, 5, Versao2, 0.3470, e
10000000, 6, Versao1, 0.3681, e
10000000, 6, Versao2, 0.3254, e
10000000, 7, Versao1, 0.2769, e
10000000, 7, Versao2, 0.3265, e
10000000, 8, Versao1, 0.2433, e
10000000, 8, Versao2, 0.2916, e
10000000, 9, Versao1, 0.3529, e
10000000, 9, Versao2, 0.3130, e
10000000, 10, Versao1, 0.3130, e
10000000, 10, Versao2, 0.3228, e
10000000, 11, Versao1, 0.2765, e
10000000, 11, Versao2, 0.2977, e
10000000, 12, Versao1, 0.3862, e
10000000, 12, Versao2, 0.3038, e
10000000, 13, Versao1, 0.3101, e
10000000, 13, Versao2, 0.3652, e
10000000, 14, Versao1, 0.3498, e
10000000, 14, Versao2, 0.3666, e
10000000, 15, Versao1, 0.5709, e
10000000, 15, Versao2, 0.4310, e
10000000, 16, Versao1, 0.3611, e
10000000, 16, Versao2, 0.3925, e
