# Resultados dos testes de primos
# Formato: N, Procs, Versao, Tempo, Primos, JobID
100000000, 1, Sequencial, 435.52, e, 31639
100000000, 2, Versao1, 241.9119, 5761455, 31640
100000000, 2, Versao2, 489.0918, 5761455, 31641
100000000, 3, Versao1, 187.4875, 5761455, 31642
100000000, 3, Versao2, 223.0031, 5761455, 31643
100000000, 4, Versao1, 103.4865, 5761455, 31644
100000000, 4, Versao2, 151.5119, 5761455, 31645
100000000, 5, Versao1, 106.8448, 5761455, 31646
100000000, 5, Versao2, 108.3910, 5761455, 31647
100000000, 6, Versao1, 108.5808, 5761455, 31648
100000000, 6, Versao2, 94.1667, 5761455, 31649
100000000, 7, Versao1, 75.5944, 5761455, 31650
100000000, 7, Versao2, 74.0050, 5761455, 31651
100000000, 8, Versao1, 58.6463, 5761455, 31652
100000000, 8, Versao2, 66.6866, 5761455, 31653
100000000, 9, Versao1, 80.6407, 5761455, 31654
100000000, 9, Versao2, 55.8019, 5761455, 31655
100000000, 10, Versao1, 49.5868, 5761455, 31656
100000000, 10, Versao2, 49.4379, 5761455, 31657
100000000, 11, Versao1, 43.5013, 5761455, 31658
100000000, 11, Versao2, 45.4785, 5761455, 31659
100000000, 12, Versao1, 50.1721, 5761455, 31660
100000000, 12, Versao2, 36.4906, 5761455, 31661
100000000, 13, Versao1, 32.1506, 5761455, 31662
100000000, 13, Versao2, 33.7317, 5761455, 31663
100000000, 14, Versao1, 33.5566, 5761455, 31664
100000000, 14, Versao2, 34.5123, 5761455, 31665
100000000, 15, Versao1, 48.8941, 5761455, 31666
100000000, 15, Versao2, 32.1794, 5761455, 31667
100000000, 16, Versao1, 16.3358, 5761455, 31668
100000000, 16, Versao2, 18.9903, 5761455, 31669
1000000000, 1, Sequencial, 7479.02, e, 31670
1000000000, 2, Versao1, 3886.3471, 50847534, 31671
1000000000, 2, Versao2, 7353.1402, 50847534, 31672
1000000000, 3, Versao1, 4276.9874, 50847534, 31673
1000000000, 3, Versao2, 4383.1538, 50847534, 31674
1000000000, 4, Versao1, 2210.4900, 50847534, 31675
1000000000, 4, Versao2, 2913.0411, 50847534, 31676
1000000000, 5, Versao1, 2221.2749, 50847534, 31677
1000000000, 5, Versao2, 2226.4890, 50847534, 31678
1000000000, 6, Versao1, 2151.8333, 50847534, 31679
1000000000, 6, Versao2, 1825.1143, 50847534, 31680
1000000000, 7, Versao1, 1640.9053, 50847534, 31681
1000000000, 7, Versao2, 1501.7126, 50847534, 31682
1000000000, 8, Versao1, 1310.4909, 50847534, 31683
1000000000, 8, Versao2, 1496.5327, 50847534, 31684
1000000000, 9, Versao1, 1539.4264, 50847534, 31685
1000000000, 9, Versao2, 1384.3288, 50847534, 31686
1000000000, 10, Versao1, 1486.8688, 50847534, 31687
1000000000, 10, Versao2, 1331.4870, 50847534, 31688
1000000000, 11, Versao1, 1187.9148, 50847534, 31689
1000000000, 11, Versao2, 1241.6173, 50847534, 31690
1000000000, 12, Versao1, 1478.4629, 50847534, 31691
1000000000, 12, Versao2, 1117.9627, 50847534, 31692
1000000000, 13, Versao1, 1031.5424, 50847534, 31693
1000000000, 13, Versao2, 1032.3162, 50847534, 31694
1000000000, 14, Versao1, 1021.5309, 50847534, 31695
1000000000, 14, Versao2, 929.1999, 50847534, 31696
1000000000, 15, Versao1, 1473.0547, 50847534, 31697
1000000000, 15, Versao2, 862.2508, 50847534, 31698
1000000000, 16, Versao1, 445.3470, 50847534, 31699
1000000000, 16, Versao2, 481.6064, 50847534, 31700
